titulo|tipo_vehiculo|categoria|marca|modelo|año|precio|detalle|combustible|tipo_transmision|caja|kilometraje_km|ubicacion|tags|url_auto|tipo|pagina
Dfsk C37 Panel 2017|autos|vans|DFSK|C37 Panel|2017|US$ 7,900|"Dual|Mecánica
Kilometraje:
92,999 Kms
Lima, Lima
DFSK C37 MINIBUS 1.5L 2017"|Dual|Mecánica||92999|Lima, Lima|PREMIUM|https://neoauto.com/auto/seminuevo/dfsk-c37-panel-2017-1845531|seminuevos|https://neoauto.com/venta-de-autos-seminuevos--vans?page=1
Peugeot Boxer 2016|autos|vans|Peugeot|Boxer|2016|US$ 24,500|"Diesel|Mecánica
Kilometraje:
69,708 Kms
Lima, Lima
PEUGEOT BOXER PANEL 2016"|Diesel|Mecánica||69708|Lima, Lima|PREMIUM|https://neoauto.com/auto/seminuevo/peugeot-boxer-2016-1845485|seminuevos|https://neoauto.com/venta-de-autos-seminuevos--vans?page=1
Peugeot Partner 2022|autos|vans|Peugeot|Partner|2022|US$ 13,800|"Diesel|Mecánica
Kilometraje:
44,314 Kms
Lima, Lima"|Diesel|Mecánica||44314|Lima, Lima|MOTOR ECONÓMICO|https://neoauto.com/auto/seminuevo/peugeot-partner-2022-1843742|seminuevos|https://neoauto.com/venta-de-autos-seminuevos--vans?page=1
Toyota Hiace 2020|autos|vans|Toyota|Hiace|2020|US$ 33,000|"Diesel|Mecánica
Kilometraje:
65,144 Kms
Lima, Lima
TOYOTA HIACE COMMUTER 1GD - GL"|Diesel|Mecánica||65144|Lima, Lima|SEMINUEVO|https://neoauto.com/auto/seminuevo/toyota-hiace-2020-1850050|seminuevos|https://neoauto.com/venta-de-autos-seminuevos--vans?page=1
Peugeot Partner 2023|autos|vans|Peugeot|Partner|2023|US$ 14,700|"Diesel|Mecánica
Kilometraje:
46,365 Kms
Lima, Lima"|Diesel|Mecánica||46365|Lima, Lima|MOTOR ECONÓMICO|https://neoauto.com/auto/seminuevo/peugeot-partner-2023-1844608|seminuevos|https://neoauto.com/venta-de-autos-seminuevos--vans?page=1
Peugeot Boxer 2016|autos|vans|Peugeot|Boxer|2016|US$ 25,900|"Diesel|Mecánica
Kilometraje:
67,033 Kms
Lima, Lima"|Diesel|Mecánica||67033|Lima, Lima|PREMIUM|https://neoauto.com/auto/seminuevo/peugeot-boxer-2016-1849986|seminuevos|https://neoauto.com/venta-de-autos-seminuevos--vans?page=1
Nissan Urvan 2023|autos|vans|Nissan|Urvan|2023|US$ 29,990|"Diesel|Mecánica
Kilometraje:
182,691 Kms
Lima, Lima"|Diesel|Mecánica||182691|Lima, Lima|PREMIUM|https://neoauto.com/auto/seminuevo/nissan-urvan-2023-1832129|seminuevos|https://neoauto.com/venta-de-autos-seminuevos--vans?page=1
Chevrolet N400 2022|autos|vans|Chevrolet|N400|2022|US$ 12,900|"Gas GLP|Mecánica
Kilometraje:
21,875 Kms
Lima, Lima"|Gas Glp|Mecánica||21875|Lima, Lima|PREMIUM|https://neoauto.com/auto/seminuevo/chevrolet-n400-2022-1849951|seminuevos|https://neoauto.com/venta-de-autos-seminuevos--vans?page=1
Hyundai H-1 2012|autos|vans|Hyundai|H-1|2012|US$ 21,500|"Diesel|Automática
Kilometraje:
78,948 Kms
Lima, Lima
HYUNDA H1 GLS / JC UGARTE"|Diesel|Automática||78948|Lima, Lima|PREMIUM|https://neoauto.com/auto/seminuevo/hyundai-h-1-2012-1821633|seminuevos|https://neoauto.com/venta-de-autos-seminuevos--vans?page=1
Chevrolet N400 2023|autos|vans|Chevrolet|N400|2023|US$ 10,400|"Gasolina|Mecánica
Kilometraje:
44,000 Kms
Lima, Lima
Vehiculo De Carga, Economico"|Gasolina|Mecánica||44000|Lima, Lima|SERVICIO CONCESIONARIO|https://neoauto.com/auto/seminuevo/chevrolet-n400-2023-1849475|seminuevos|https://neoauto.com/venta-de-autos-seminuevos--vans?page=1
